station_id,station_name,state,latitude,longitude,operator_id,last_verified,charger_count
272607,Electric Highway Tasmania - Maydena,TASMANIA,-42.754949,146.628993,3339,2023-07-15T07:12:00Z,3
272606,Electric Highway Tasmania - Dunalley,TASMANIA,-42.886808,147.81389,3339,2023-07-15T07:05:00Z,2
272605,Electric Highway Tasmania - Derby,TASMANIA,-41.149411,147.803691,3339,2023-07-15T07:03:00Z,3
272604,Electric Highway Tasmania - Fingal,TASMANIA,-41.638,147.9681,3339,2023-07-15T07:00:00Z,3
272603,The Isla,NEW SOUTH WALES,-35.731097,150.197277,3339,2023-07-15T06:56:00Z,1
272602,Rocket @ The End Of The Road,TASMANIA,-43.43165,146.97408,3339,2023-07-15T06:55:00Z,1
272601,Mansi on Raymond,VICTORIA,-38.101629,147.065543,3339,2023-07-15T06:53:00Z,1
272600,Electric Highway Tasmania - Cygnet,TASMANIA,-43.161979080863325,147.07772323414196,3339,2023-07-15T06:49:00Z,3
272599,Inveresk QVMAG Car Park,TASMANIA,-41.425875,147.139979,3339,2023-07-15T06:46:00Z,1
272598,George Town Council Chambers,TASMANIA,-41.105627281858055,146.82315392988272,3339,2024-09-27T12:46:00Z,2
272592,Jolt Bayswster,VICTORIA,-37.84108696617519,145.2666187431746,3529,2023-07-15T02:32:00Z,2
272574,Electric Highway Tasmania - Triabunna,TASMANIA,-42.50810955517955,147.91002661194875,3339,2023-07-14T14:34:00Z,3
272573,50 Learmonth Street,VICTORIA,-38.26770792670353,144.6589785355144,3339,2023-07-14T14:26:00Z,4
272572,Armstrong Creek East Community Hub,VICTORIA,-38.231759419255376,144.36927996323692,3339,2023-07-14T14:24:00Z,3
272571,Wuality Resort Siesta,NEW SOUTH WALES,-36.045905,146.943511,3339,2023-07-14T14:20:00Z,4
272570,Blue Tongue Industries,VICTORIA,-38.197502248120415,144.34395122104382,3339,2023-07-14T14:16:00Z,1
272569,RACV Solar Grovedale,VICTORIA,-38.19759412236032,144.34487185372615,3339,2023-07-14T14:14:00Z,1
272568,Chadstone Shopping Centre,VICTORIA,-37.88497430576943,145.08243117285895,3339,2023-07-14T14:12:00Z,6
272567,Eltham Leisure Centre,VICTORIA,-37.72302764419204,145.14217983897862,3339,2023-07-14T13:59:00Z,2
272566,Devon Street Car Park,VICTORIA,-37.79675756180921,145.27982712620957,3339,2023-07-14T17:37:00Z,2
272565,Callaghan Motors,VICTORIA,-38.36320203022315,142.4561073425345,3339,2023-07-14T13:54:00Z,1
272564,Midlands Golf Club,VICTORIA,-37.52794764296954,143.85802750554984,3339,2023-07-14T13:52:00Z,3
272563,Deakin University Waurn Ponds,VICTORIA,-38.19671590570452,144.29935439201148,3339,2023-07-14T13:49:00Z,2
272562,Woolworths Heidelberg,VICTORIA,-37.75910544295768,145.06876762326635,3339,2024-07-03T08:41:00Z,8
272561,Austin Tower Carpark Level B1,VICTORIA,-37.75745813437603,145.05918510936715,3339,2023-07-14T13:41:00Z,2
272542,Cobblebank Village,VICTORIA,-37.7144019574638,144.60143699904745,3339,2023-07-14T13:35:00Z,2
272541,Dindi Naturals,VICTORIA,-37.10296645372912,145.61620856939197,3339,2023-07-14T07:26:00Z,1
272540,Stewarts Bay Lodge,TASMANIA,-43.13907166604574,147.8548439357172,3339,2023-07-14T07:25:00Z,2
272537,Electric Highway Tasmania - Ouse,TASMANIA,-42.48504801756201,146.7100908639125,3339,2023-07-14T06:08:00Z,3
272536,Yarra Valley Nissan,VICTORIA,-37.754997221186045,145.3637260206866,3339,2023-07-14T06:05:00Z,1
272535,Brighton Council Chambers,TASMANIA,-42.75097184541446,147.27872555026147,3339,2023-07-14T06:03:00Z,1
272534,Fleming Park,VICTORIA,-37.769132479580406,144.9747860386588,3339,2023-07-14T05:59:00Z,2
272533,David Street Car Park,VICTORIA,-37.771645139851486,144.96173089792444,3339,2023-07-14T05:57:00Z,1
272532,RMIT Brunswick,VICTORIA,-37.7716796666272,144.95818485880557,3339,2023-07-14T05:55:00Z,1
272531,Moonee Ponds Central,VICTORIA,-37.76583087874345,144.92352649174768,3339,2023-07-14T05:53:00Z,2
272521,BP Pulse Eastern Creek,NEW SOUTH WALES,-33.811041669720204,150.85030018744214,3659,2023-08-09T12:21:00Z,1
272511,Cataract Gorge Basin Car Park,TASMANIA,-41.44637646555024,147.12284889511938,3339,2023-07-13T07:59:00Z,1
272510,Jackson Volkswagen,TASMANIA,-41.45022658817194,147.14154103560344,3339,2023-07-13T07:50:00Z,2
272508,Audi Centre Hobart,TASMANIA,-42.87538883111667,147.32416098548657,3339,2023-07-13T07:43:00Z,1
272507,Electric Highway Tasmania - Waratah,TASMANIA,-41.4429562299098,145.52665769580165,3339,2023-07-13T07:39:00Z,2
