IsRecentlyVerified,DateLastVerified,ID,UUID,DataProviderID,OperatorID,UsageTypeID,Connections,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.DistanceUnit,UsageCost,AddressInfo.AddressLine2,AddressInfo.AccessComments,AddressInfo.RelatedURL,GeneralComments,AddressInfo.ContactTelephone1,AddressInfo.ContactEmail,AddressInfo.ContactTelephone2
False,2024-03-04T03:24:00Z,295991,DC789A39-8504-4175-96D8-BF7EAE121813,1,3398,4,"[{'ID': 527837, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 527838, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50, 'CurrentTypeID': 30, 'Quantity': 1}]",1.0,50,2024-03-04T03:24:00Z,1,2024-03-01T03:19:00Z,200,296378,Evie Stawell,Skene Street,Stawell,Victoria,3380,18,-37.05706536578791,142.78103976991747,0,,,,,,,,
False,2024-03-04T03:19:00Z,295990,27D08670-6570-4691-A5B8-9A75D636DC4B,1,3398,4,"[{'ID': 527835, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 527836, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50, 'CurrentTypeID': 30, 'Quantity': 1}]",1.0,50,2024-03-04T03:19:00Z,1,2024-03-01T03:17:00Z,200,296377,Evie Benalla,Denny Street,Benalla,Victoria,3672,18,-36.55114428189935,145.98425664687772,0,,,,,,,,
False,2024-06-25T11:04:00Z,295989,7B310C1D-27CC-4976-A1B4-5689F6064953,1,3398,4,"[{'ID': 527832, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 527833, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 527834, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50, 'CurrentTypeID': 30, 'Quantity': 1}]",2.0,50,2024-06-25T11:04:00Z,1,2024-03-01T03:14:00Z,200,296376,Evie Mornington,Cromwell Street,Mornington,Victoria,3931,18,-38.22449869065465,145.03964281641652,0,,,,,,,,
False,2024-03-03T23:09:00Z,295979,4A47EACD-B9EC-48F5-8DCD-15DFA845E9F7,1,3529,4,"[{'ID': 527815, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 25, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 527816, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 25, 'CurrentTypeID': 30, 'Quantity': 1}]",1.0,50,2024-03-03T23:09:00Z,1,2024-02-29T23:07:00Z,200,296366,Barrenjoey Road,Barrenjoey Road,,New South Wales,2108,18,-33.597285174014345,151.31997898476163,0,"First 7kWh free, then $0.49 per kWh thereafter. $5/hr idle time",Palm Beach,,,,,,
False,2024-03-03T09:23:00Z,295940,B50FD272-35AB-460F-BAF4-55DFE8916ABB,1,3626,4,"[{'ID': 527750, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50, 'CurrentTypeID': 30, 'Quantity': 2}, {'ID': 527751, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22, 'CurrentTypeID': 20, 'Quantity': 1}]",2.0,50,2024-03-03T09:23:00Z,1,2024-02-28T12:04:00Z,200,296327,Nanutarra (WA EV Network),North West Coastal Highway,,Western Australia,,18,-22.543198410447303,115.50141571783809,0,"$0.60 per kW for fast DC charger, $0.36 for slow AC charger,",,,,,,,
False,2024-02-28T02:54:00Z,295863,2C218C1D-6F70-4958-8128-3212E6BE9E9A,1,1,4,"[{'ID': 527595, 'ConnectionTypeID': 0, 'StatusTypeID': 50, 'Quantity': 1}]",1.0,50,2024-02-28T02:54:00Z,1,2024-02-25T02:51:00Z,200,296250,Puma INGLEWOOD,Albert Street,Inglewood,Qld,4387,18,-28.41795526622294,151.07778635013676,0,,,,,,,,
False,2025-01-20T16:05:00Z,290685,0C632EFE-707A-424A-B5E9-D64EAD36F0FE,1,3339,4,"[{'ID': 513510, 'ConnectionTypeID': 1041, 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'PowerKW': 15, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 588803, 'ConnectionTypeID': 33, 'Reference': 'Stations 6379, 6380, 6384', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 7, 'CurrentTypeID': 10, 'Quantity': 3, 'Comments': 'The 3 Phase unit is behind a locked gate and not part of Chargefox network'}]",3.0,50,2025-01-20T16:05:00Z,1,2024-02-06T12:41:00Z,200,291072,RAA Charge Marla Travellers Rest,Wattle Street,Marla,South Australia,5724,18,-27.303895427172144,133.62317371162635,0,Evening Peak 32c per kWh (5:00PM to 10:00PM) 25c all other times,,,,,,,
False,2024-03-28T12:18:00Z,289988,3035725C-7D28-46C2-B45F-3C6B76284F14,1,3534,4,"[{'ID': 511854, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 250, 'CurrentTypeID': 30, 'Quantity': 4}]",4.0,50,2024-03-28T12:18:00Z,1,2024-01-17T18:48:00Z,200,290375,Kojonup Supercharger,Benn Parade,Kojonup,Western Australia,6395,18,-33.83754542029569,117.1578115341685,0,,,,,,,,
False,2024-02-05T05:41:00Z,289972,08BC76D8-075A-4AFC-B903-125F4FB57724,1,3339,4,"[{'ID': 511820, 'ConnectionTypeID': 25, 'Reference': '5916', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22, 'CurrentTypeID': 20, 'Quantity': 1}]",1.0,50,2024-02-05T05:41:00Z,1,2024-01-17T07:18:00Z,200,290359,Narrogin Trailer Park,80 Williams Road ,Narrogin ,Western Australia,6312,18,-32.937064398774,117.16399188426647,0,$0.45 per kWh ,,,,,,,
False,2024-02-05T04:19:00Z,289971,58F3BBF1-985D-49A2-8520-37F6055CFF70,1,3339,4,"[{'ID': 511819, 'ConnectionTypeID': 25, 'Reference': '5324', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22, 'CurrentTypeID': 20, 'Quantity': 1}]",1.0,50,2024-02-05T04:19:00Z,1,2024-01-17T07:11:00Z,200,290358,Narrogin Memorial Park ,6312/9 Williams Narrogin Highway ,Narrogin ,wa,6312,18,-32.934143432527556,117.17480124057863,0,$0.45 per kWh. ,,,,,,,
False,2024-02-05T04:14:00Z,289970,BD2E0CF1-1000-4401-9B84-9CBED9982FB5,1,3626,4,"[{'ID': 511818, 'ConnectionTypeID': 25, 'Reference': '5917', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22, 'CurrentTypeID': 20, 'Quantity': 1}]",1.0,50,2024-02-05T04:14:00Z,1,2024-01-17T07:06:00Z,200,290357,Old Courthouse Museum ,Harris Street,Narrogin,Western Australia,6312,18,-32.933670519982606,117.17677737808447,0,$0.45 per kWh ,,,,,,,
False,2024-08-31T06:43:00Z,289312,D38AC108-7F0A-45FF-A280-BE9515746694,1,1,1,"[{'ID': 508372, 'ConnectionTypeID': 1036, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22, 'CurrentTypeID': 20, 'Quantity': 1, 'Comments': 'Tesla EVSE'}]",1.0,50,2024-08-31T06:43:00Z,1,2024-01-06T04:44:00Z,200,289699,Wyalkatchem Community Resource Center,5700 Railway Terrace,Wyalkatchem,WA,6485,18,-31.179597642152913,117.37944093832061,0,$5.00 per hour.,,,,Uses the honor system. If the Community Resource Center is open then pay at the reception. Otherwise pay to a bank account giving on the sign located next to the Tesla EVSE. ,,,
True,2025-12-29T06:02:00Z,289309,926617FF-AA46-4706-ADA5-5065CCD4939F,1,3835,1,"[{'ID': 508366, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'CurrentTypeID': 30, 'Quantity': 2}, {'ID': 508367, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'CurrentTypeID': 30, 'Quantity': 1}]",4.0,50,2025-12-29T06:02:00Z,1,2024-01-06T02:10:00Z,200,289696,Car Park,Acacia Avenue ,Warwick,Queensland,4370,18,-28.21735094177685,152.03086649397966,0,free,,,,,,,
False,2023-12-30T23:34:00Z,289009,8D57D217-91D2-4ED6-924A-F0A7617E7D7A,1,3339,1,"[{'ID': 507234, 'ConnectionTypeID': 2, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50, 'CurrentTypeID': 30, 'Quantity': 1}, {'ID': 507235, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 50, 'CurrentTypeID': 30, 'Quantity': 1}]",1.0,50,2023-12-30T23:34:00Z,1,2023-12-30T23:34:00Z,200,289396,Warnambool Tourist Information Centre,91 Merri Street,Warnambool,Victoria,2380,18,-38.389181,142.484993,0,payment may be required,,,,,,,
False,2024-01-15T02:41:00Z,288968,91C2BA4C-1C60-457A-A674-305FF4DCC5F5,1,23,4,"[{'ID': 507148, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 250, 'CurrentTypeID': 30, 'Quantity': 3}]",3.0,50,2024-01-15T02:41:00Z,1,2023-12-29T04:45:00Z,200,289355,Coles Bairnsdale,35 Nicholson St,Bairnsdale,Victoria,3875,18,-37.82480937950314,147.63246014953563,0,0.70c/kwh,,,,,,,
